"Omniscope-E46228B163272D25"
0,115
1,115
2,113
3,112
4,111
5,109
6,108
7,107
8,105
9,104
10,104
11,102
12,101
13,100
14,99
15,97
16,97
17,95
18,93
19,93
20,92
21,90
22,89
23,88
24,87
25,86
26,84
27,82
28,83
29,81
30,79
31,78
32,76
33,75
34,74
35,73
36,71
37,71
38,69
39,67
40,66
41,65
42,64
43,63
44,61
45,60
46,59
47,57
48,56
49,54
50,54
51,52
52,50
53,50
54,49
55,47
56,46
57,44
58,42
59,42
60,40
61,39
62,38
63,37
64,35
65,34
66,33
67,31
68,31
69,28
70,27
71,27
72,25
73,23
74,22
75,21
76,20
77,19
78,17
79,15
80,15
81,13
82,11
83,11
84,10
85,9
86,7
87,7
88,5
89,4
90,3
91,1
92,
93,-1
94,-3
95,-4
96,-4
97,-6
98,-7
99,-7
100,-10
101,-10
102,-11
103,-13
104,-14
105,-15
106,-17
107,-17
108,-18
109,-19
110,-20
111,-21
112,-23
113,-24
114,-24
115,-26
116,-27
117,-27
118,-29
119,-30
120,-31
121,-32
122,-33
123,-33
124,-34
125,-36
126,-36
127,-37
128,-39
129,-39
130,-40
131,-42
132,-42
133,-43
134,-44
135,-45
136,-45
137,-46
138,-48
139,-48
140,-49
141,-49
142,-51
143,-52
144,-53
145,-53
146,-54
147,-55
148,-55
149,-55
150,-57
151,-57
152,-58
153,-59
154,-59
155,-60
156,-62
157,-61
158,-61
159,-63
160,-62
161,-63
162,-64
163,-64
164,-66
165,-66
166,-66
167,-67
168,-67
169,-68
170,-68
171,-69
172,-70
173,-69
174,-69
175,-70
176,-71
177,-71
178,-72
179,-72
180,-72
181,-73
182,-72
183,-73
184,-74
185,-73
186,-74
187,-74
188,-74
189,-75
190,-75
191,-75
192,-75
193,-76
194,-75
195,-76
196,-76
197,-75
198,-75
199,-76
200,-76
201,-76
202,-77
203,-77
204,-76
205,-76
206,-76
207,-77
208,-77
209,-76
210,-76
211,-77
212,-76
213,-76
214,-76
215,-76
216,-76
217,-75
218,-76
219,-75
220,-74
221,-75
222,-74
223,-74
224,-74
225,-74
226,-73
227,-73
228,-73
229,-73
230,-72
231,-71
232,-72
233,-71
234,-70
235,-70
236,-70
237,-69
238,-69
239,-69
240,-68
241,-68
242,-68
243,-66
244,-67
245,-66
246,-65
247,-65
248,-64
249,-64
250,-63
251,-63
252,-62
253,-61
254,-61
255,-60
256,-59
257,-59
258,-58
259,-57
260,-57
261,-56
262,-56
263,-55
264,-54
265,-53
266,-52
267,-52
268,-50
269,-49
270,-49
271,-48
272,-48
273,-47
274,-46
275,-45
276,-44
277,-43
278,-42
279,-42
280,-41
281,-39
282,-39
283,-38
284,-37
285,-36
286,-34
287,-34
288,-34
289,-32
290,-31
291,-31
292,-29
293,-28
294,-27
295,-26
296,-25
297,-25
298,-22
299,-21
300,-21
301,-20
302,-18
303,-18
304,-16
305,-16
306,-15
307,-12
308,-12
309,-11
310,-10
311,-8
312,-7
